Word,Value
百分之百,2
倍加,2
备至,2
不得了,2
不堪,2
不可开交,2
不亦乐乎,2
不折不扣,2
彻头彻尾,2
充分,2
到头,2
地地道道,2
非常,2
极,2
极度,2
极端,2
极其,2
极为,2
截然,2
尽,2
惊人地,2
绝,2
绝顶,2
绝对,2
绝对化,2
刻骨,2
酷,2
满,2
满贯,2
满心,2
莫大,2
奇,2
入骨,2
甚为,2
十二分,2
十分,2
十足,2
死,2
滔天,2
痛,2
透,2
完全,2
完完全全,2
万,2
万般,2
万分,2
万万,2
无比,2
无度,2
无可估量,2
无以复加,2
无以伦比,2
要命,2
要死,2
已极,2
已甚,2
异常,2
逾常,2
贼,2
之极,2
之至,2
至极,2
卓绝,2
最为,2
佼佼,2
郅,2
綦,2
齁,2
最,2
不为过,1.7
超,1.7
超额,1.7
超级,1.7
出头,1.7
多,1.7
浮,1.7
过,1.7
过度,1.7
过分,1.7
过火,1.7
过劲,1.7
过了头,1.7
过猛,1.7
过热,1.7
过甚,1.7
过头,1.7
过于,1.7
过逾,1.7
何止,1.7
何啻,1.7
开外,1.7
苦,1.7
老,1.7
偏,1.7
强,1.7
溢,1.7
忒,1.7
不过,1.4
不少,1.4
不胜,1.4
惨,1.4
沉,1.4
沉沉,1.4
出奇,1.4
大为,1.4
多,1.4
多多,1.4
多加,1.4
多么,1.4
分外,1.4
格外,1.4
够瞧的,1.4
够戗,1.4
好,1.4
好不,1.4
何等,1.4
很,1.4
很是,1.4
坏,1.4
可,1.4
老,1.4
老大,1.4
良,1.4
颇,1.4
颇为,1.4
甚,1.4
实在,1.4
太,1.4
太甚,1.4
特,1.4
特别,1.4
尤,1.4
尤其,1.4
尤为,1.4
尤以,1.4
远,1.4
着实,1.4
曷,1.4
碜,1.4
大不了,1.1
多,1.1
更,1.1
更加,1.1
更进一步,1.1
更为,1.1
还,1.1
还要,1.1
较,1.1
较比,1.1
较为,1.1
进一步,1.1
那般,1.1
那么,1.1
那样,1.1
强,1.1
如斯,1.1
益,1.1
益发,1.1
尤甚,1.1
逾,1.1
愈,1.1
愈,1.1
...,1.1
愈,1.1
愈发,1.1
愈加,1.1
愈来愈,1.1
愈益,1.1
远远,1.1
越,1.1
...,1.1
越,1.1
越发,1.1
越加,1.1
越来越,1.1
越是,1.1
这般,1.1
这样,1.1
足,1.1
足足,1.1
点点滴滴,0.8
多多少少,0.8
怪,0.8
好生,0.8
还,0.8
或多或少,0.8
略,0.8
略加,0.8
略略,0.8
略微,0.8
略为,0.8
蛮,0.8
稍,0.8
稍稍,0.8
稍微,0.8
稍为,0.8
稍许,0.8
挺,0.8
未免,0.8
相当,0.8
些,0.8
些微,0.8
些小,0.8
一点,0.8
一点儿,0.8
一些,0.8
有点,0.8
有点儿,0.8
有些,0.8
半点,0.5
不大,0.5
不丁点儿,0.5
不甚,0.5
不怎么,0.5
聊,0.5
没怎么,0.5
轻度,0.5
弱,0.5
丝毫,0.5
微,0.5
相对,0.5
